iter	Passed	Remaining
220	11308	29627
221	11358	29573
222	11409	29521
223	11460	29468
224	11506	29404
225	11553	29343
226	11600	29282
227	11647	29221
228	11694	29159
229	11743	29102
230	11790	29043
231	11838	28983
232	11866	28875
233	11915	28820
234	11967	28772
235	12024	28736
236	12078	28692
237	12129	28641
238	12180	28591
239	12230	28537
240	12277	28477
241	12326	28423
242	12380	28377
243	12431	28326
244	12482	28276
245	12536	28232
246	12601	28213
247	12662	28184
248	12731	28173
249	12783	28123
250	12847	28099
251	12897	28045
252	12945	27988
253	12996	27937
254	13045	27880
255	13098	27835
256	13165	27816
257	13255	27847
258	13329	27842
259	13389	27808
260	13449	27775
261	13497	27716
262	13546	27658
263	13591	27594
264	13636	27529
265	13683	27469
266	13729	27407
267	13779	27352
268	13824	27289
269	13870	27227
270	13916	27164
271	13965	27108
272	14019	27063
273	14065	27002
274	14112	26942
275	14157	26878
276	14204	26820
277	14252	26762
278	14299	26703
279	14345	26641
280	14372	26546
281	14420	26488
282	14471	26436
283	14523	26388
284	14571	26330
285	14622	26278
286	14675	26231
287	14730	26187
288	14781	26136
289	14835	26090
290	14887	26040
291	14934	25982
292	14978	25918
293	15027	25864
294	15066	25792
295	15100	25711
296	15145	25649
297	15190	25588
298	15231	25522
299	15276	25461
300	15324	25404
301	15379	25361
302	15522	25460
303	15614	25476
304	15709	25495
305	15774	25466
306	15835	25429
307	15889	25381
308	15938	25326
309	15995	25283
310	16053	25241
311	16112	25202
312	16169	25158
313	16198	25071
314	16259	25034
315	16318	24994
316	16378	24955
317	16476	24973
318	16609	25044
319	16746	25120
320	16820	25099
321	16875	25051
322	16926	24997
323	16973	24936
324	17025	24883
325	17081	24836
326	17140	24793
327	17188	24735
328	17246	24690
329	17298	24636
330	17346	24579
331	17407	24538
332	17469	24498
333	17545	24480
334	17624	24463
335	17695	24436
336	17766	24409
337	17835	24378
338	17907	24351
339	17966	24307
340	18030	24270
341	18095	24232
342	18153	24186
343	18216	24147
344	18281	24110
345	18340	24065
346	18411	24035
347	18473	23994
348	18533	23950
349	18591	23903
350	18656	23865
351	18722	23828
352	18792	23796
353	18882	23790
354	18951	23756
355	19017	23718
356	19091	23690
357	19166	23663
358	19237	23631
359	19303	23593
360	19374	23560
361	19444	23526
362	19528	23509
363	19597	23473
364	19665	23436
365	19724	23389
366	19795	23355
367	19854	23307
368	19919	23266
369	19984	23225
370	20054	23190
371	20120	23148
372	20200	23124
373	20266	23084
374	20333	23044
375	20389	22992
376	20451	22947
377	20515	22904
378	20583	22864
379	20648	22821
380	20715	22781
381	20781	22739
382	20843	22693
383	20913	22655
384	20977	22611
385	21048	22574
386	21144	22565
387	21223	22536
388	21293	22497
389	21363	22458
390	21435	22421
391	21500	22377
392	21565	22333
393	21633	22292
394	21707	22256
395	21792	22232
396	21855	22186
397	21974	22195
398	22168	22279
399	22243	22243
400	22317	22206
401	22374	22151
402	22436	22102
403	22488	22043
404	22547	21990
405	22601	21933
406	22660	21880
407	22718	21827
408	22794	21791
409	22876	21760
410	22929	21702
411	22982	21643
412	23034	21584
413	23085	21523
414	23134	21461
415	23182	21399
416	23238	21344
417	23296	21289
418	23352	21234
419	23415	21185
420	23472	21130
421	23527	21074
422	23583	21018
423	23639	20963
424	23695	20907
425	23775	20873
426	23910	20886
427	24038	20893
428	24149	20884
429	24215	20836
430	24273	20781
431	24329	20725
432	24385	20668
433	24438	20609
434	24493	20551
435	24550	20496
436	24604	20438
437	24660	20381
438	24717	20326
439	24772	20268
440	24829	20212
441	24887	20157
442	24943	20101
443	24998	20043
444	25054	19987
445	25111	19931
446	25168	19876
447	25224	19818
448	25281	19763
449	25336	19706
450	25393	19650
451	25449	19593
452	25506	19538
453	25563	19482
454	25621	19427
455	25677	19370
456	25732	19313
457	25787	19256
458	25842	19199
459	25897	19141
460	25951	19083
461	26006	19026
462	26062	18969
463	26119	18914
464	26176	18858
465	26233	18802
466	26292	18748
467	26349	18692
468	26407	18637
469	26466	18582
470	26523	18527
471	26589	18477
472	26652	18425
473	26717	18375
474	26774	18319
475	26830	18263
476	26882	18203
477	26932	18142
478	26982	18082
479	27033	18022
480	27081	17960
481	27113	17888
482	27165	17829
483	27215	17769
484	27264	17708
485	27316	17648
486	27366	17588
487	27419	17530
488	27469	17470
489	27518	17409
490	27568	17349
491	27619	17290
492	27670	17231
493	27720	17171
494	27770	17111
495	27818	17050
496	27867	16989
497	27914	16928
498	27965	16868
499	28015	16809
500	28071	16753
501	28128	16697
502	28185	16642
503	28244	16588
504	28298	16530
505	28353	16473
506	28410	16418
507	28468	16363
508	28522	16306
509	28577	16249
510	28632	16193
511	28693	16139
512	28754	16086
513	28812	16032
514	28870	15976
515	28928	15921
516	28988	15867
517	29052	15816
518	29111	15761
519	29172	15708
520	29231	15653
521	29303	15606
522	29376	15558
523	29436	15504
524	29498	15451
525	29555	15395
526	29617	15342
527	29674	15286
528	29722	15226
529	29781	15171
530	29861	15127
531	29929	15077
532	30001	15028
533	30073	14980
534	30146	14932
535	30208	14878
536	30280	14830
537	30353	14781
538	30411	14725
539	30464	14668
540	30521	14611
541	30592	14562
542	30652	14507
543	30715	14454
544	30775	14399
545	30836	14344
546	30902	14293
547	30968	14240
548	31028	14186
549	31090	14132
550	31149	14076
551	31219	14025
552	31303	13981
553	31378	13933
554	31447	13882
555	31508	13827
556	31566	13771
557	31629	13717
558	31685	13660
559	31739	13602
560	31801	13548
561	31864	13494
562	31922	13438
563	31983	13383
564	32068	13338
565	32143	13288
566	32222	13241
567	32293	13190
568	32357	13136
569	32419	13081
570	32479	13026
571	32543	12971
572	32604	12916
573	32670	12863
574	32734	12809
575	32806	12757
576	32872	12704
577	32933	12649
578	32996	12594
579	33052	12537
580	33109	12480
581	33171	12424
582	33230	12368
583	33287	12311
584	33349	12256
585	33405	12199
586	33462	12142
587	33519	12085
588	33574	12027
589	33629	11969
590	33688	11913
591	33743	11855
592	33802	11799
593	33859	11742
594	33914	11684
595	33974	11628
596	34032	11572
597	34089	11515
598	34146	11458
599	34201	11400
600	34260	11344
601	34318	11287
602	34376	11230
603	34434	11174
604	34491	11117
605	34550	11060
606	34605	11002
607	34663	10946
608	34719	10889
609	34773	10831
610	34829	10773
611	34884	10716
612	34943	10659
613	35000	10602
614	35060	10546
615	35119	10490
616	35179	10434
617	35237	10377
618	35292	10319
619	35349	10262
620	35404	10205
621	35462	10148
622	35518	10091
623	35577	10034
624	35636	9978
625	35693	9921
626	35749	9864
627	35810	9808
628	35867	9750
629	35925	9694
630	35986	9638
631	36044	9581
632	36101	9524
633	36159	9467
634	36217	9410
635	36275	9354
636	36332	9297
637	36392	9240
638	36448	9183
639	36505	9126
640	36562	9069
641	36620	9012
642	36679	8956
643	36738	8899
644	36795	8842
645	36851	8785
646	36908	8727
647	36965	8670
648	37024	8614
649	37080	8556
650	37136	8499
651	37195	8443
652	37256	8386
653	37313	8329
654	37370	8272
655	37426	8215
656	37482	8158
657	37538	8100
658	37595	8043
659	37662	7988
660	37739	7936
661	37813	7882
662	37882	7827
663	37946	7772
664	38005	7715
665	38067	7659
666	38130	7603
667	38196	7547
668	38257	7491
669	38321	7435
670	38389	7380
671	38461	7326
672	38520	7269
673	38579	7212
674	38636	7154
675	38694	7097
676	38750	7040
677	38807	6983
678	38865	6925
679	38922	6868
680	38978	6811
681	39036	6754
682	39097	6697
683	39166	6642
684	39231	6586
685	39306	6531
686	39370	6475
687	39443	6421
688	39521	6366
689	39595	6312
690	39659	6255
691	39719	6199
692	39788	6143
693	39845	6085
694	39904	6028
695	39967	5972
696	40037	5916
697	40100	5859
698	40175	5805
699	40240	5748
700	40305	5692
701	40374	5636
702	40465	5583
703	40550	5529
704	40610	5472
705	40668	5414
706	40728	5357
707	40788	5300
708	40868	5245
709	40921	5187
710	40970	5128
711	41022	5070
712	41071	5011
713	41123	4953
714	41176	4895
715	41225	4836
716	41274	4777
717	41323	4719
718	41374	4661
719	41426	4602
720	41481	4545
721	41537	4487
722	41592	4429
723	41647	4371
724	41699	4313
725	41752	4255
726	41804	4197
727	41877	4141
728	41952	4085
729	42013	4028
730	42078	3971
731	42141	3914
732	42206	3857
733	42273	3801
734	42364	3746
735	42457	3691
736	42530	3635
737	42591	3578
738	42651	3520
739	42710	3463
740	42790	3407
741	42864	3350
742	42943	3294
743	43018	3237
744	43086	3180
745	43162	3124
746	43293	3071
747	43381	3015
748	43445	2958
749	43525	2901
750	43589	2844
751	43620	2784
752	43667	2725
753	43714	2666
754	43763	2608
755	43811	2549
756	43861	2491
757	43913	2433
758	43967	2375
759	44038	2317
760	44093	2259
761	44145	2201
762	44207	2143
763	44277	2086
764	44333	2028
765	44385	1970
766	44436	1911
767	44488	1853
768	44542	1795
769	44594	1737
770	44643	1679
771	44693	1620
772	44743	1562
773	44801	1504
774	44860	1447
775	44921	1389
776	44980	1331
777	45055	1274
778	45121	1216
779	45188	1158
780	45254	1100
781	45323	1043
782	45396	985
783	45455	927
784	45507	869
785	45557	811
786	45605	753
787	45657	695
788	45706	637
789	45755	579
790	45805	521
791	45856	463
792	45905	405
793	45957	347
794	46009	289
795	46066	231
796	46119	173
797	46172	115
798	46223	57
799	46273	0
